Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude
1/2/1965,13:44:18,19.246,145.616,Earthquake,131.6,,,6
1/4/1965,11:29:49,1.863,127.352,Earthquake,80,,,5.8
1/5/1965,18:05:58,-20.579,-173.972,Earthquake,20,,,6.2
1/8/1965,18:49:43,-59.076,-23.557,Earthquake,15,,,5.8
1/9/1965,13:32:50,11.938,126.427,Earthquake,15,,,5.8
1/10/1965,13:36:32,-13.405,166.629,Earthquake,35,,,6.7
1/12/1965,13:32:25,27.357,87.867,Earthquake,20,,,5.9
1/15/1965,23:17:42,-13.309,166.212,Earthquake,35,,,6
1/16/1965,11:32:37,-56.452,-27.043,Earthquake,95,,,6
1/17/1965,10:43:17,-24.563,178.487,Earthquake,565,,,5.8
1/17/1965,20:57:41,-6.807,108.988,Earthquake,227.9,,,5.9
1/24/1965,0:11:17,-2.608,125.952,Earthquake,20,,,8.2
1/29/1965,9:35:30,54.636,161.703,Earthquake,55,,,5.5
2/1/1965,5:27:06,-18.697,-177.864,Earthquake,482.9,,,5.6
